総合判定,台数判定,容量判定,名称判定,機器ID照合,判定理由,機器ID,機器表 記載名,盤表 記載名,機器表 台数,盤表 台数,台数差,機器表 消費電力(kW),機器表 モード容量(kW),機器表 判定モード,機器表 判定採用容量(kW),容量判定補足,盤表 容量(kW),容量差(kW),機器表 図面番号,盤表 図面番号,盤表 記載トレース
✗,✗,✗,✗,✗,機器表に記載なし,JU-1,,補助加圧ポンプ,,2,,,,,,,2.2,,,"E-024,E-032",図面:E-024 名称:補助加圧ポンプ 容量:2.2 || 図面:E-032 名称:補助加圧ポンプ 容量:2.2
✗,✗,✗,✗,✗,機器表に記載なし,DP-2,,清水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:清水ポンプ 容量:3.7 || 図面:E-031 名称:清水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-3,,清水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:清水ポンプ 容量:3.7 || 図面:E-031 名称:清水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-5,,清水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:清水ポンプ 容量:3.7 || 図面:E-031 名称:清水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-6,,清水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:清水ポンプ 容量:3.7 || 図面:E-031 名称:清水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-9,,雑排水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:雑排水ポンプ 容量:3.7 || 図面:E-031 名称:雑排水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-10,,雨水排水ポンプ,,2,,,,,,,2.2,,,"E-024,E-031",図面:E-024 名称:雨水排水ポンプ 容量:2.2 || 図面:E-031 名称:雨水排水ポンプ 容量:2.2
✗,✗,✗,✗,✗,機器表に記載なし,DP-1,,雑排水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:雑排水ポンプ 容量:3.7 || 図面:E-031 名称:雑排水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-4,,清水ポンプ,,2,,,,,,,2.2,,,"E-024,E-031",図面:E-024 名称:清水ポンプ 容量:2.2 || 図面:E-031 名称:清水ポンプ 容量:2.2
✗,✗,✗,✗,✗,機器表に記載なし,DP-7,,清水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:清水ポンプ 容量:3.7 || 図面:E-031 名称:清水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-8,,雑排水ポンプ,,2,,,,,,,7.5,,,"E-024,E-031",図面:E-024 名称:雑排水ポンプ 容量:7.5 || 図面:E-031 名称:雑排水ポンプ 容量:7.5
✗,✗,✗,✗,✗,機器表に記載なし,DP-11,,雨水排水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:雨水排水ポンプ 容量:3.7 || 図面:E-031 名称:雨水排水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,DP-12,,汚泥引抜ポンプ,,2,,,,,,,5.5,,,"E-024,E-032",図面:E-024 名称:汚泥引抜ポンプ 容量:5.5 || 図面:E-032 名称:汚泥引抜ポンプ 容量:5.5
✗,✗,✗,✗,✗,機器表に記載なし,DP-14,,雑排水ポンプ,,2,,,,,,,3.7,,,"E-024,E-031",図面:E-024 名称:雑排水ポンプ 容量:3.7 || 図面:E-031 名称:雑排水ポンプ 容量:3.7
✗,✗,✗,✗,✗,機器表に記載なし,SS-B1-1,,リングシャッター,,2,,,,,,,0.75,,,"E-024,E-033",図面:E-024 名称:リングシャッター 容量:0.75 || 図面:E-033 名称:リングシャッター 容量:0.75
✗,✗,✗,✗,✗,機器表に記載なし,FSS-B1-1,,防火シャッター,,2,,,,,,,0.75,,,"E-024,E-033",図面:E-024 名称:防火シャッター 容量:0.75 || 図面:E-033 名称:防火シャッター 容量:0.75
要確認,要確認,要確認,要確認,✗,盤表ID未記載,,,全自動砂濾過装置,,1,,,,,,,2.0,,,E-024,
要確認,要確認,要確認,要確認,✗,盤表ID未記載,,,全自動砂濾過装置,,1,,,,,,,2.0,,,E-032,
